question,answer,model_answer,id,clean_model_answer,is_correct
ساختار آب چیست؟,اکسید هیدروژن,آب از دو اتم هیدروژن و یک اتم اکسیژن تشکیل شده است. این سه اتم به صورت زاویه‌دار به هم متصل هستند.,1624917,آب از دو اتم هیدروژن و یک اتم اکسیژن تشکیل شده است. این سه اتم به صورت زاویه‌دار به هم متصل هستند.,False
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,اکسیژن در دماهای بالا با بسیاری از عناصر پیوند شیمیایی تشکیل می‌دهد.,1624977,اکسیژن در دماهای بالا با بسیاری از عناصر پیوند شیمیایی تشکیل می‌دهد.,True
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,"<Think>رضاخان در شهریور ۱۳۲۰ (۱۹۴۱ میلادی) از سلطنت کناره‌گیری کرد و از ایران خارج شد. جنگ جهانی دوم از سال ۱۹۳۹ تا ۱۹۴۵ میلادی بود. بنابراین، رضاشاه تنها در بخش ابتدایی جنگ جهانی دوم (از ۱۹۳۹ تا ۱۹۴۱) در ایران حضور داشت. در این مدت، مرکز حکومت و محل اقامت اصلی او تهران، پایتخت ایران، بود که در مرکز ایران قرار دارد.</Think>
<ANSWER>مرکز (تهران)</ANSWER>",1637359,مرکز (تهران),False
روس‌های سفید که بودند؟,,روس‌های سفید شامل نیروهای ضد بلشویک بودند که در طول جنگ داخلی روسیه علیه بلشویک‌ها جنگیدند. این نیروها از گروه‌های مختلفی از جمله سلطنت‌طلبان، لیبرال‌ها و سوسیالیست‌های میانه‌رو تشکیل شده بودند.,1637429,روس‌های سفید شامل نیروهای ضد بلشویک بودند که در طول جنگ داخلی روسیه علیه بلشویک‌ها جنگیدند. این نیروها از گروه‌های مختلفی از جمله سلطنت‌طلبان، لیبرال‌ها و سوسیالیست‌های میانه‌رو تشکیل شده بودند.,False
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,از بزرگان خوانین شهریار می‌توان از خاندان‌های مستوفی و قشقایی نام برد.,1602784,از بزرگان خوانین شهریار می‌توان از خاندان‌های مستوفی و قشقایی نام برد.,False
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,"<Think>چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی غالباً نماد چهار گوشه جهان یا چهار جهت اصلی هستند که گستره و قلمرو ساسانیان را نشان می‌دهند.</Think>
<ANSWER>چهار جهت اصلی</ANSWER>",1607913,چهار جهت اصلی,False
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,محصولات صادراتی ژاپن شامل خودرو، لوازم الکترونیکی، ماشین‌آلات و مواد شیمیایی است.,1623122,محصولات صادراتی ژاپن شامل خودرو، لوازم الکترونیکی، ماشین‌آلات و مواد شیمیایی است.,True
مهمترین آثار باستانی استان گیلان کدام است؟,,قلعه رودخان، شهر تاریخی ماسوله، گورستان‌های مارلیک و املش.,1610145,قلعه رودخان، شهر تاریخی ماسوله، گورستان‌های مارلیک و املش.,False
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,<ANSWER>۶ شهرستان</ANSWER>,1610317,۶ شهرستان,False
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگ‌ژو، چین,1648587,گوانگ‌ژو، چین,False
