question,answer,model_answer,id,context_id
ساختار آب چیست؟,اکسید هیدروژن,<ANSWER>H2O</ANSWER>,1624917,114
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,هیدروژن و کربن,1624977,114
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,تهران,1637359,123
روس‌های سفید که بودند؟,,<ANSWER>جنبش ضدبلشویکی</ANSWER>,1637429,123
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,<ANSWER>لطفعلی‌خان سرتیپ و سلطان‌خان</ANSWER>,1602784,101
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,<ANSWER>اهورامزدا و آب و باد و آتش</ANSWER>,1607913,105
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,Error: list index out of range,1623122,113
مهمترین آثار باستانی استان گیلان کدام است؟,,<ANSWER>قلعه رودخان، تپه‌های مارلیک، و ماسوله</ANSWER>,1610145,106
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,نه شهرستان,1610317,106
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,<ANSWER>گوانگ‌ژو چین</ANSWER>,1648587,130
لاوازیه در چه سالی متولد شد؟,,<ANSWER>۱۷۴۳</ANSWER>,1624298,114
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,<ANSWER>شهر واتیکان</ANSWER>,1630220,118
رم در کدام قاره قرار گرفته‌است؟,اروپا,<ANSWER>اروپا</ANSWER>,1605283,103
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,<ANSWER>جستجو</ANSWER>,1621111,112
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,<ANSWER>حدود ۱۰۰۰</ANSWER>,1622278,113
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,<ANSWER>زبان‌های شمال غربی ایرانی</ANSWER>,1609968,106
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,<ANSWER>وارن جی. هاردینگ</ANSWER>,1635871,122
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,از خوانین ایل چهارلنگ بختیاری بود.,1602620,101
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,<ANSWER>مسئلهٔ حفظ تمامیت ارضی و استقلال کشور</ANSWER>,1637663,123
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,<ANSWER>گنگستا رپ</ANSWER>,1617421,110
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,<ANSWER>کودتای ۱۲۹۹</ANSWER>,1637225,123
ابوموسی اشعری اهل کجا بود؟,,<ANSWER>یمن</ANSWER>,1626553,115
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,<ANSWER>مغولان</ANSWER>,1642358,126
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,<ANSWER></ANSWER>,1647026,129
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,<ANSWER>۹٬۹۸۴٬۶۷۰ کیلومتر مربع</ANSWER>,1639066,124
ریشه یونانی اکسیژن چیست؟,اوکسیس,<ANSWER>oxys و genes</ANSWER>,1624516,114
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,<ANSWER>دهه ۱۹۹۰</ANSWER>,1619172,111
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,<ANSWER>یک سازمان لابی‌گری</ANSWER>,1635584,122
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,<ANSWER>۶</ANSWER>,1617597,110
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,<ANSWER>دهه ۱۹۷۰</ANSWER>,1616905,110
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,<ANSWER>شرق ایران</ANSWER>,1626546,115
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,<ANSWER>کمدی، درام، تراژدی، موزیکال، پانتومیم، کمدی سیاه</ANSWER>,1646747,129
کار برنامه‌نویس بزرگ رایانه چیست؟,,برنامه‌نویسی رایانه,1634401,121
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,<ANSWER>ده سال</ANSWER>,1611599,107
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,<ANSWER>ابوالفتح خان بختیاری</ANSWER>,1602619,101
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,<ANSWER>به دلیل توسعه زودهنگام و محبوبیت گسترده آن</ANSWER>,1617814,110
مسیحی پروتستان چگونه است؟,,<ANSWER>یک جریان اصلاح‌طلبانه در مسیحیت است</ANSWER>,1631389,119
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,<ANSWER>نسخه آزمایشی اولیه</ANSWER>,1644030,127
جین آئو- یونگ در چه سالی متولد شد؟َ,,<ANSWER>سال ۱۹۷۰</ANSWER>,1617539,110
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),<ANSWER>۱۵ ژانویهٔ ۲۰۰۹</ANSWER>,1619054,111
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,<ANSWER>شبکه‌های عمومی، دانشگاهی، دولتی و خصوصی</ANSWER>,1618870,111
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,<ANSWER>۴۴۰۰۰</ANSWER>,1646967,129
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,<ANSWER>اندرو جکسون و مارتین ون بورن</ANSWER>,1635467,122
ماده حاجب پرتونگاری چیست؟,,ماده ای است که برای افزایش کنتراست تصویربرداری پزشکی استفاده می شود.,1640515,125
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,<ANSWER>ملا محمدعلی نوری</ANSWER>,1608254,105
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,<ANSWER>۱۲۹۴ خورشیدی</ANSWER>,1637604,123
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,<ANSWER>۱۵ درصد</ANSWER>,1624923,114
