question,expected_answer,model_answer,clean_model_answer,is_correct,answer_type,question_type
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,"بله، کاترین لانگفورد نقش هانا بیکر را در سریال ""۱۳ دلیل برای اینکه"" بازی کرده است.","بله، کاترین لانگفورد نقش هانا بیکر را در سریال ""۱۳ دلیل برای اینکه"" بازی کرده است.",True,بلی/خیر,مقایسه‌ای
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,آشتون کچر,آشتون کچر,False,شخص,پل
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,بازی سوپر ماریو,بازی سوپر ماریو,True,اسامی خاص دیگر,پل
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,سونی,سونی,False,اسامی خاص دیگر,پل
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,بله، جایزه‌ای که سیدیبه در سال 2007 دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند.,بله، جایزه‌ای که سیدیبه در سال 2007 دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند.,True,بلی/خیر,پل
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بله، محمدرضا ترکی نقش تصمیم‌گیرنده پذیرش یا رد مقالات را در نشریه نامه فرهنگستان بر عهده داشت.,بله، محمدرضا ترکی نقش تصمیم‌گیرنده پذیرش یا رد مقالات را در نشریه نامه فرهنگستان بر عهده داشت.,True,بلی/خیر,پل
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بله، شرکت دورنیر هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,بله، شرکت دورنیر هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,True,بلی/خیر,پل
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,زبان اردو,زبان اردو,True,اسامی خاص دیگر,پل
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بله، یوبی‌سافت یک شرکت چند ملیتی است.,بله، یوبی‌سافت یک شرکت چند ملیتی است.,True,بلی/خیر,پل
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,ژاپن,ژاپن,True,مکان,پل
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,برای اولین بار در جام جهانی ۲۰۱۸,برای اولین بار در جام جهانی ۲۰۱۸,False,صفت,پل
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"ویژه برنامه ""جام جهانی ۲۰۱۸""","ویژه برنامه ""جام جهانی ۲۰۱۸""",False,کار هنری,پل
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,تیم ملی فرانسه,تیم ملی فرانسه,True,مکان,پل
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,ویژه برنامه جام جهانی,ویژه برنامه جام جهانی,False,کار هنری,پل
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,2013,2013,False,تاریخ,پل
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,True,بلی/خیر,پل
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,بله، فرانسه قهرمان جهان شد.,بله، فرانسه قهرمان جهان شد.,True,بلی/خیر,پل
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بله، جی. کی. رولینگ چند داستان جنایی نوشته است.,بله، جی. کی. رولینگ چند داستان جنایی نوشته است.,True,بلی/خیر,پل
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بله، هر دو اثر از پرفروش‌ترین آثار می‌باشند.,بله، هر دو اثر از پرفروش‌ترین آثار می‌باشند.,True,بلی/خیر,مقایسه‌ای
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,رایان گاسلینگ,رایان گاسلینگ,False,شخص,پل
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,استودیوی وارنر برادرز,استودیوی وارنر برادرز,True,گروه یا سازمان,پل
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,گامبا اوزاکا,گامبا اوزاکا,False,اسامی خاص دیگر,پل
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,جی لیگ,جی لیگ,False,رویداد,پل
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوئیز دلا فوانته,لوئیز دلا فوانته,False,شخص,پل
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True,شخص,پل
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,جزیره شاتر,جزیره شاتر,False,کار هنری,پل
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,ادی مرفی,ادی مرفی,False,شخص,پل
