question,answer,model_answer,clean_model_answer,is_correct,id
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,قهستان در منطقه‌ای از ایران، در شرق کشور و در نزدیکی خراسان قرار داشته‌است.,قهستان در منطقه‌ای از ایران، در شرق کشور و در نزدیکی خراسان قرار داشته‌است.,False,
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,انواع تئاتر شامل تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی و تئاتر خیابانی می‌باشد.,انواع تئاتر شامل تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی و تئاتر خیابانی می‌باشد.,False,
کار برنامه‌نویس بزرگ رایانه چیست؟,,کار برنامه‌نویس بزرگ رایانه طراحی، توسعه و نگهداری نرم‌افزارهای پیچیده و سیستم‌های رایانه‌ای است.,کار برنامه‌نویس بزرگ رایانه طراحی، توسعه و نگهداری نرم‌افزارهای پیچیده و سیستم‌های رایانه‌ای است.,False,
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,لری پیج و سرگی برین و اریک اشمیت توافق کردند که به مدت ۱۰ سال کنار هم کار کنند.,لری پیج و سرگی برین و اریک اشمیت توافق کردند که به مدت ۱۰ سال کنار هم کار کنند.,False,
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,"حاکم اصفهان در زمان مرگ نادرشاه، ""علی‌قلی خان"" معروف به ""علی‌قلی خان زنگنه"" بود.","حاکم اصفهان در زمان مرگ نادرشاه، ""علی‌قلی خان"" معروف به ""علی‌قلی خان زنگنه"" بود.",False,
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,صربیا به دلیل تاریخچه غنی موسیقی، هنرمندان برجسته و فرهنگ رپ پررنگ، به یکی از مشهورترین کشورها در زمینه رپ در اروپا تبدیل شده است.,صربیا به دلیل تاریخچه غنی موسیقی، هنرمندان برجسته و فرهنگ رپ پررنگ، به یکی از مشهورترین کشورها در زمینه رپ در اروپا تبدیل شده است.,False,
مسیحی پروتستان چگونه است؟,,مسیحی پروتستان به پیروان مذهب پروتستان اشاره دارد که از اصلاحات مذهبی قرن ۱۶ میلادی ناشی شده و بر اصولی مانند ایمان به کتاب مقدس و رابطه مستقیم با خدا تأکید دارد.,مسیحی پروتستان به پیروان مذهب پروتستان اشاره دارد که از اصلاحات مذهبی قرن ۱۶ میلادی ناشی شده و بر اصولی مانند ایمان به کتاب مقدس و رابطه مستقیم با خدا تأکید دارد.,False,
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,مرحله بتا در توسعه نرم‌افزار به مرحله‌ای اطلاق می‌شود که محصول برای تست عمومی یا محدود به کاربران خاص ارائه می‌شود تا بازخورد دریافت کند و اشکالات احتمالی شناسایی شود.,مرحله بتا در توسعه نرم‌افزار به مرحله‌ای اطلاق می‌شود که محصول برای تست عمومی یا محدود به کاربران خاص ارائه می‌شود تا بازخورد دریافت کند و اشکالات احتمالی شناسایی شود.,True,
جین آئو- یونگ در چه سالی متولد شد؟َ,,جین آی‌ئو-یونگ در سال ۱۹۲۲ متولد شد.,جین آی‌ئو-یونگ در سال ۱۹۲۲ متولد شد.,False,
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),تیلور اولین مأموریت خود را در تاریخ ۲۴ ژوئیه ۱۹۶۹ به نتیجه رساند.,تیلور اولین مأموریت خود را در تاریخ ۲۴ ژوئیه ۱۹۶۹ به نتیجه رساند.,False,
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,اینترنت شامل شبکه‌های محلی (LAN)، شبکه‌های گسترده (WAN)، شبکه‌های بی‌سیم (WLAN) و شبکه‌های جهانی (مانند وب) است.,اینترنت شامل شبکه‌های محلی (LAN)، شبکه‌های گسترده (WAN)، شبکه‌های بی‌سیم (WLAN) و شبکه‌های جهانی (مانند وب) است.,False,
