question,answer,model_answer,clean_model_answer,is_correct
کدام یک از کشورهایی که سابقا جنگ‌افزار هسته‌ای داشتد در سواحل دو اقیانوس اطلس و هند می‌باشد ؟,آفریقای جنوبی,آفریقای جنوبی,آفریقای جنوبی,True
آیا شرکت زیر مجموعه ماکروسافت بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است ؟,بله,خیر,خیر,False
برنامه های کمپانی که استفنی مک‌من لوک از سال 2022 رئیس آن بود در چند کشور تماشا شده است ؟,280,نامشخص,نامشخص,False
آیا جوکیو و گن‌روکو هر دو از فوریه ۱۶۸۴ تا سپتامبر ۱۶۸۸ میلادی ادامه داشتند ؟,خیر,خیر,خیر,True
آیا ورزشی که هل این ا سل یک رویداد غیر رایگان برگزار کننده آن است ترکیبی از رقابت و بازی-سرگرمی می باشد ؟,بله,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
آیا کمپانی که با استقبال خوب منتقدان از فیلم کشتن کمپانی هریس کوبریک مورد توجه آن قرار گرفت یک شرکت آمریکایی است ؟,بله,بلی,بلی,True
آیا شرکت ماهان در فرودگاه بین‌المللی قاسم سلیمانی و فرودگاه بجنورد پرواز دارد ؟,بله,بلی,بلی,True
موسیقی‌دان اهل ایالات متحده آمریکا که در فیلم تریپل اکس بازی کرده چه نام دارد ؟,ایو,ایو,ایو,True
آیا انجمن فیزیک ایران با راهنمایی فیزیک‌دان، سناتور و یکی از وزیران فرهنگ در زمان سلطنت پهلوی آغاز به کار کرد ؟,بله,بلی,بلی,True
شرکت منتشر کننده آهنگ بیلی جین زیر مجموعه کدام شرکت است ؟,سونی میوزیک انترتینمنت,سونی میوزیک انترتینمنت,سونی میوزیک انترتینمنت,True
جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد متعلق به کدام جشنواره است ؟,جشنوارهٔ فیلم ونیز,دوسالانه ونیز,دوسالانه ونیز,False
آیا جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد در فرانسه بود ؟,بله,بلی,بلی,True
چه کسی قاتل رهبر اتحادیه کارگران آمریکا بوده است ؟,فرانک شیرن,نامشخص,نامشخص,False
موجودی صندوقی که برای پرداخت پول نقد، بازسازی، جایگزینی و تعمیرات استفاده می شود در سال ۲۰۱۳ به چند میلیارد دلار رسید ؟,۹,اطلاعاتی در مورد موجودی صندوقی که برای پرداخت پول نقد، بازسازی، جایگزینی و تعمیرات استفاده می شود در سال ۲۰۱۳ وجود ندارد.,اطلاعاتی در مورد موجودی صندوقی که برای پرداخت پول نقد، بازسازی، جایگزینی و تعمیرات استفاده می شود در سال ۲۰۱۳ وجود ندارد.,False
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند پیرو آیین‌های بودایی تبتی و شمنیسم هستند ؟,مغول‌ها,مغول‌ها,مغول‌ها,True
آیا تیم اوراوا ردز در فصل‌های ۲۰۰۷ و ۲۰۱۷ سابقه قهرمانی در مهم‌ترین مسابقات باشگاهی در سطح آسیا را دارد ؟,بلی,بلی,بلی,True
آیا دو بازی فار کرای پرایمال و فار کرای در یک سبک قرار دارند ؟,بله,بلی,بلی,True
آیا خانه موزه آنه فرانک پس از جنگ جهانی دوم افتتاح شد ؟,بلی,بلی,بلی,True
کدام یک از سبک‌هایی که فرانک وینسنت زاپا در آن آهنگسازی کرده تحت تأثیر ژانرهایی نظیر فولک و بلوز است ؟,راک,راک,راک,True
آیا عنصر شیمیایی با عدد اتمی 80 جز کدام نوع فلزات است ؟,فلزات نجیب,فلزات نجیب,فلزات نجیب,True
نام یک گونه از سرده گل مغربی در شبه قاره شمالی چیست ؟,پامچال شب,پامچال شب,پامچال شب,True
شرکت سازنده دورنیر دو ۲۱۷ توسط چه کسی پایه‌گذاری شد ؟,کلاو دورنیر,گاستاو دورنیر,گاستاو دورنیر,False
آیا کیران دسای و مانجاری فاندیس هر دو اهل هند هستند ؟,بله,بلی,بلی,True
 آیا تیم ملی فوتبال آلمان زودتر از باشگاه فوتبال منچستر سیتی تاسیس شده است ؟,خیر,بلی,بلی,False
در مقابل تبی که بنتونیت با نام گل ارمنی در آن معروف است چه چیز قرار دارد ؟, پزشکی مبتنی بر شواهد,طب سنتی,طب سنتی,False
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,مغول‌ها,مغول‌ها,True
آیا فرانسواز دورلیاک در فیلمی به کارگردانی رومن پولانسکی لهستانی نقش داشته است ؟,بله,بلی,بلی,True
آیا جایی که تومور گاسترینوما در آن قرار دارد در قسمت فوقانی شکم قرار دارد ؟,بله,بلی,بلی,True
دیوید والاس و توبی فلندرسون چه نوع شخصیتی هستند ؟,تخیلی,شخص,شخص,False
