question,answer,model_answer,id
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,<ANSWER>بلی</ANSWER>,3
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,<ANSWER>ایمی اسمارت</ANSWER>,2255
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,<ANSWER>سوپر ماریو ۶۴</ANSWER>,8
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,<ANSWER>مورتال کامبت تریلوژی</ANSWER>,9
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,<ANSWER>خیر</ANSWER>,10
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,<ANSWER>بلی</ANSWER>,14
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,<ANSWER>بلی</ANSWER>,2263
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,<ANSWER>زبان اردو</ANSWER>,2268
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,<ANSWER>بلی</ANSWER>,2270
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,<ANSWER>ژاپن</ANSWER>,2271
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,<ANSWER>یک</ANSWER>,28
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,<ANSWER>جام 21</ANSWER>,29
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,<ANSWER>فرانسه</ANSWER>,30
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,<ANSWER>بیست‌هجده</ANSWER>,31
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,<ANSWER>سال ۱۹۹۳</ANSWER>,2277
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,<ANSWER>بلی</ANSWER>,34
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,<ANSWER>بلی</ANSWER>,35
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,<ANSWER>بلی</ANSWER>,2282
