question,answer,model_answer,id,clean_model_answer,is_correct
ساختار آب چیست؟,اکسید هیدروژن,H₂O,1624917,H₂O,True
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,کربن، نیتروژن، گوگرد و فلزات قلیایی,1624977,کربن، نیتروژن، گوگرد و فلزات قلیایی,False
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,سمت شمال ایران,1637359,سمت شمال ایران,False
روس‌های سفید که بودند؟,,مخالفان بلشویک‌ها در جنگ داخلی روسیه,1637429,مخالفان بلشویک‌ها در جنگ داخلی روسیه,False
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,میرزا آقاخان کرمانی، سید جمال‌الدین اسدآبادی، و محمدعلی فروغی,1602784,میرزا آقاخان کرمانی، سید جمال‌الدین اسدآبادی، و محمدعلی فروغی,False
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,نماد چهار عنصر,1607913,نماد چهار عنصر,False
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,ماشین‌آلات، الکترونیک، خودرو، مواد شیمیایی، و محصولات کشاورزی,1623122,ماشین‌آلات، الکترونیک، خودرو، مواد شیمیایی، و محصولات کشاورزی,False
مهمترین آثار باستانی استان گیلان کدام است؟,,قلعه رودخان، پل خشتی لاهیجان، آرامگاه شیخ زاهد گیلانی,1610145,قلعه رودخان، پل خشتی لاهیجان، آرامگاه شیخ زاهد گیلانی,False
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,چهار شهرستان,1610317,چهار شهرستان,False
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگژو,1648587,گوانگژو,False
لاوازیه در چه سالی متولد شد؟,,۱۷۴۳,1624298,۱۷۴۳,False
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,شهر واتیکان، ایتالیا,1630220,شهر واتیکان، ایتالیا,False
رم در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,1605283,اروپا,True
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,جستجوی محتوا,1621111,جستجوی محتوا,False
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,۱۰۰۰ تا ۱۵۰۰ زمین لرزه,1622278,۱۰۰۰ تا ۱۵۰۰ زمین لرزه,False
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,زبان‌های ایرانی,1609968,زبان‌های ایرانی,False
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,واردن هاردینگ,1635871,واردن هاردینگ,True
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,سیاستمدار و نظامی ایرانی,1602620,سیاستمدار و نظامی ایرانی,False
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,اصلاحات اجتماعی و اقتصادی,1637663,اصلاحات اجتماعی و اقتصادی,False
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,پاپ کره‌ای,1617421,پاپ کره‌ای,False
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,کودتای 1299,1637225,کودتای 1299,True
ابوموسی اشعری اهل کجا بود؟,,مدینه,1626553,مدینه,False
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,داعش,1642358,داعش,False
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,تأثیر تمدن اژه ای بر تئاتر شامل ایجاد ساختارهای نمایشی و استفاده از موسیقی و رقص در اجراها بود.,1647026,تأثیر تمدن اژه ای بر تئاتر شامل ایجاد ساختارهای نمایشی و استفاده از موسیقی و رقص در اجراها بود.,False
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۶۰۰ کیلومتر مربع,1639066,۹٬۹۸۴٬۶۰۰ کیلومتر مربع,False
ریشه یونانی اکسیژن چیست؟,اوکسیس,اکسوس و ژنوس,1624516,اکسوس و ژنوس,False
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,سال ۱۹۹۰,1619172,سال ۱۹۹۰,False
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,یک سازمان سیاسی در ایالات متحده,1635584,یک سازمان سیاسی در ایالات متحده,False
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,دو آلبوم,1617597,دو آلبوم,False
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,دهه ۱۹۷۰,1616905,دهه ۱۹۷۰,True
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,خراسان,1626546,خراسان,False
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی,1646747,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی,False
کار برنامه‌نویس بزرگ رایانه چیست؟,,توسعه نرم‌افزار,1634401,توسعه نرم‌افزار,False
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,۲۰ سال,1611599,۲۰ سال,True
