question,answer,model_answer,id,clean_model_answer,is_correct
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,"<Think>کاترین لانگفورد در سریال ""13 دلیل برای اینکه"" نقش هانا بیکر را بازی کرده است. هانا بیکر در این سریال یک شخصیت نوجوان است.</Think>
<ANSWER>بلی</ANSWER>",3,بلی,True
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,"<Think>فیلم اثر پروانه‌ای و فیلم آینه‌ها را بررسی می‌کنیم. یکی از بازیگران مشترک در هر دو فیلم، ایمی اسمارت است.</Think>
<ANSWER>ایمی اسمارت</ANSWER>",2255,ایمی اسمارت,True
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,"<Think>بازی سوپرتاکس یک بازی پلتفرمر است که از بازی‌های سوپر ماریو الهام گرفته شده است. بازی سوپر ماریو توسط شرکت ژاپنی نینتندو توسعه داده شده است.</Think>
<ANSWER>سوپر ماریو</ANSWER>",8,سوپر ماریو,True
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,"<Think>شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد، شرکت SNK با کنسول Neo Geo Pocket بود. SNK به خاطر مجموعه‌های بازی مبارزه‌ای خود، به ویژه ""کینگ آو فایترز""، ""متال اسلاگ"" و ""سامورایی شوداون"" شهرت دارد.</Think>
<ANSWER>کینگ آو فایترز</ANSWER>",9,کینگ آو فایترز,False
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,<ANSWER>بلی</ANSWER>,10,بلی,True
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,"<Think>محمدرضا ترکی به عنوان عضو هیئت تحریریه نشریه نامه فرهنگستان فعالیت می‌کرده است. اعضای هیئت تحریریه نقش مهمی در بررسی، داوری، و تصمیم‌گیری نهایی برای پذیرش یا رد مقالات دارند.</Think>
<ANSWER>بلی</ANSWER>",14,بلی,True
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,"<Think>شرکت دورنیر (Dornier) در طول تاریخ خود، علاوه بر هواگردهای نظامی مانند Do 217، هواپیماهای متعددی را برای کاربردهای نظامی و غیرنظامی (مانند هواپیماهای مسافربری و آبی‌خاکی) طراحی و تولید کرده است. این شرکت سابقه طولانی در صنعت هوانوردی دارد.</Think>
<ANSWER>بلی</ANSWER>",2263,بلی,True
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,"<Think>کلمه ""حمد"" ریشه‌ عربی دارد و به معنای ستایش و ثنا، به‌ویژه ستایش خداوند، به کار می‌رود. این کلمه در بسیاری از زبان‌هایی که تحت تأثیر فرهنگ و دین اسلام قرار گرفته‌اند، استفاده می‌شود. در جنوب آسیا، زبان اردو یکی از زبان‌های اصلی است که واژگان عربی و فارسی زیادی را در خود دارد و کلمه ""حمد"" در ادبیات و گفتار دینی آن بسیار رایج است.</Think>
<ANSWER>زبان اردو</ANSWER>",2268,زبان اردو,True
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,"<Think>بازی ""این‌اسلیو: اودیسه به سمت غرب"" توسط شرکت بندای نامکو (Bandai Namco) منتشر شده است. بندای نامکو یک شرکت ژاپنی است اما فعالیت‌های گسترده‌ای در سطح جهانی دارد و در کشورهای مختلف شعبه و دفاتر دارد، که نشان‌دهنده چند ملیتی بودن آن است.</Think>
<ANSWER>بلی</ANSWER>",2270,بلی,True
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,"<Think>بازی ""این‌اسلیو: اودیسه به سمت غرب"" توسط شرکت باندای نامکو منتشر شده است. شرکت باندای نامکو یک شرکت ژاپنی است.</Think>
<ANSWER>ژاپن</ANSWER>",2271,ژاپن,True
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,<ANSWER>یک</ANSWER>,28,یک,False
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"<Think>برای یافتن ویژه برنامه پخش شده از آیو اسپرت در جام جهانی 2018، باید به برنامه‌های مرتبط با آن رویداد و پلتفرم آیو اسپرت مراجعه کرد. برنامه ""بیست‌هجده"" با اجرای عادل فردوسی‌پور از طریق آیو اسپرت نیز پخش شد.</Think>
<ANSWER>برنامه بیست‌هجده</ANSWER>",29,برنامه بیست‌هجده,False
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,"<Think>جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد، جام جهانی فوتبال ۲۰۱۸ روسیه است. تیم قهرمان جام جهانی ۲۰۱۸ فرانسه بود.</Think>
<ANSWER>فرانسه</ANSWER>",30,فرانسه,True
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"<Think>اولین دوره جام جهانی فوتبال در اروپای شرقی، جام جهانی ۲۰۱۸ روسیه بود. تلویزیون اینترنتی آیو اسپرت برای پوشش این رویداد، ویژه برنامه ""روسیه ۲۰۱۸"" را پخش کرد.</Think>
<ANSWER>روسیه ۲۰۱۸</ANSWER>",31,روسیه ۲۰۱۸,False
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,<ANSWER>سال ۱۹۹۳</ANSWER>,2277,سال ۱۹۹۳,True
