question,answer,model_answer,id,context_id,clean_model_answer,is_correct
ساختار آب چیست؟,اکسید هیدروژن,H₂O,1624917,114,H₂O,True
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,کربن، گوگرد، نیتروژن، فلزات قلیایی و فلزات قلیایی خاکی,1624977,114,کربن، گوگرد، نیتروژن، فلزات قلیایی و فلزات قلیایی خاکی,False
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,سمت شمال ایران,1637359,123,سمت شمال ایران,False
روس‌های سفید که بودند؟,,مخالفان بلشویک‌ها در جنگ داخلی روسیه,1637429,123,مخالفان بلشویک‌ها در جنگ داخلی روسیه,False
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,شیخ محمد خیابانی، میرزا کوچک خان جنگلی، سید حسن مدرس,1602784,101,شیخ محمد خیابانی، میرزا کوچک خان جنگلی، سید حسن مدرس,False
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,نماد چهار عنصر,1607913,105,نماد چهار عنصر,False
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,ماشین‌آلات، الکترونیک، خودرو، و محصولات شیمیایی,1623122,113,ماشین‌آلات، الکترونیک، خودرو، و محصولات شیمیایی,True
مهمترین آثار باستانی استان گیلان کدام است؟,,کلیسای مریم مقدس، قلعه رودخان، تپه باستانی آریا، و محوطه تاریخی لاهیجان,1610145,106,کلیسای مریم مقدس، قلعه رودخان، تپه باستانی آریا، و محوطه تاریخی لاهیجان,False
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,چهار شهرستان,1610317,106,چهار شهرستان,False
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگژو,1648587,130,گوانگژو,False
لاوازیه در چه سالی متولد شد؟,,۱۷۴۳,1624298,114,۱۷۴۳,False
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,در شهر واتیکان، در مرکز شهر رم، ایتالیا,1630220,118,در شهر واتیکان، در مرکز شهر رم، ایتالیا,False
رم در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,1605283,103,اروپا,True
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,جستجوی محتوا,1621111,112,جستجوی محتوا,False
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,هزار زمین لرزه,1622278,113,هزار زمین لرزه,False
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,زبان‌های ایرانی,1609968,106,زبان‌های ایرانی,False
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,واردن هاردینگ,1635871,122,واردن هاردینگ,True
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,سیاستمدار و نظامی ایرانی,1602620,101,سیاستمدار و نظامی ایرانی,False
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,اصلاحات اجتماعی و اقتصادی,1637663,123,اصلاحات اجتماعی و اقتصادی,False
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,پاپ,1617421,110,پاپ,False
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,سال 1299,1637225,123,سال 1299,True
ابوموسی اشعری اهل کجا بود؟,,مدینه,1626553,115,مدینه,False
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,داعش,1642358,126,داعش,False
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,تأثیر تمدن اژه ای بر تئاتر شامل توسعه داستان‌گویی، استفاده از ماسک و لباس‌های خاص، و تأکید بر نمایش‌های مذهبی و اجتماعی است.,1647026,129,تأثیر تمدن اژه ای بر تئاتر شامل توسعه داستان‌گویی، استفاده از ماسک و لباس‌های خاص، و تأکید بر نمایش‌های مذهبی و اجتماعی است.,False
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۶۰۰ کیلومتر مربع,1639066,124,۹٬۹۸۴٬۶۰۰ کیلومتر مربع,False
ریشه یونانی اکسیژن چیست؟,اوکسیس,اکسین,1624516,114,اکسین,False
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,سال ۱۹۹۰,1619172,111,سال ۱۹۹۰,False
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,یک حزب سیاسی در ایالات متحده,1635584,122,یک حزب سیاسی در ایالات متحده,False
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,پنج آلبوم,1617597,110,پنج آلبوم,False
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,دهه ۱۹۷۰,1616905,110,دهه ۱۹۷۰,True
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,خراسان,1626546,115,خراسان,False
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی,1646747,129,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی,False
کار برنامه‌نویس بزرگ رایانه چیست؟,,توسعه نرم‌افزار,1634401,121,توسعه نرم‌افزار,False
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,۲۰ سال,1611599,107,۲۰ سال,True
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,علی‌قلی خان,1602619,101,علی‌قلی خان,False
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,به خاطر هنرمندان برجسته و فرهنگ موسیقی غنی,1617814,110,به خاطر هنرمندان برجسته و فرهنگ موسیقی غنی,False
مسیحی پروتستان چگونه است؟,,مسیحی که به اصول پروتستانیسم پایبند است و بر اساس اعتقادات و آموزه‌های اصلاح‌طلبان دینی مانند مارتین لوتر و جان کالوین عمل می‌کند.,1631389,119,مسیحی که به اصول پروتستانیسم پایبند است و بر اساس اعتقادات و آموزه‌های اصلاح‌طلبان دینی مانند مارتین لوتر و جان کالوین عمل می‌کند.,False
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,مرحله ی بتا به مرحله ای از توسعه نرم افزار اشاره دارد که در آن محصول برای تست و بازخورد کاربران در دسترس قرار می گیرد.,1644030,127,مرحله ی بتا به مرحله ای از توسعه نرم افزار اشاره دارد که در آن محصول برای تست و بازخورد کاربران در دسترس قرار می گیرد.,False
جین آئو- یونگ در چه سالی متولد شد؟َ,,۱۹۷۲,1617539,110,۱۹۷۲,False
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),۲۴ ژوئیه ۱۹۶۹,1619054,111,۲۴ ژوئیه ۱۹۶۹,False
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,شبکه‌های محلی، شبکه‌های گسترده، شبکه‌های بی‌سیم، شبکه‌های خصوصی و عمومی,1618870,111,شبکه‌های محلی، شبکه‌های گسترده، شبکه‌های بی‌سیم، شبکه‌های خصوصی و عمومی,False
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,حدود ۱۰۰ هزار سال پیش,1646967,129,حدود ۱۰۰ هزار سال پیش,False
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,توماس جفرسون و جیمز مدیسون,1635467,122,توماس جفرسون و جیمز مدیسون,False
ماده حاجب پرتونگاری چیست؟,,ماده‌ای که برای افزایش کنتراست تصاویر پرتونگاری استفاده می‌شود.,1640515,125,ماده‌ای که برای افزایش کنتراست تصاویر پرتونگاری استفاده می‌شود.,False
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,علی‌اکبر دهخدا,1608254,105,علی‌اکبر دهخدا,False
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,سال ۱۲۸۵,1637604,123,سال ۱۲۸۵,False
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,۱۵ درصد,1624923,114,۱۵ درصد,True
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,آشوربانیپال,1642693,126,آشوربانیپال,False
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,کیخسرو,1642854,126,کیخسرو,False
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,پولیس,1647080,129,پولیس,True
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,مدارهای کم ارتفاع,1632806,120,مدارهای کم ارتفاع,False
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,شهربانو,1642525,126,شهربانو,False
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,شعر، ریتم و موزیک,1617304,110,شعر، ریتم و موزیک,False
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,امضای قرارداد دارسی,1614356,108,امضای قرارداد دارسی,False
منظور از آتریاد چیست؟,تیپ,سه‌گانه,1637361,123,سه‌گانه,False
