context,context_id
اکسیژن با غلظت و تراکم بالا اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود. لوله‌های فولادی و مخازن ذخیره‌سازی مورد استفاده برای ذخیره و انتقال اکسیژن گازی و مایع به‌عنوان یک سوخت رفتار می‌کنند؛ بنابراین، طراحی و ساخت سیستم‌های اکسیژن نیاز به توجه و آموزش ویژه دارد تا از حداقل احتراق منابع قابل اشتعال اطمینان حاصل شود. آتش‌سوزی که باعث کشته شدن خدمه آپولو ۱ در آزمایش سکوی پرتاب شد، خیلی سریع گسترش یافت، زیرا کپسول حاوی اکسیژن تحت فشاری در حدود ۱ اتمسفر بود، در حالی باید فشار آن حدود ۱⁄۳ فشار محیط باشد، فشاری که در چنین ماموریت‌هایی استفاده می‌شود.,114
رضاشاه سنت شاهی تأمین بودجهٔ مالی مدارس علمیه، بزرگداشت مجتهدین اعظم و سفرهای زیارتی - حتی به نجف و کربلا - را استمرار بخشید. به هشت روحانی که در سال ۱۹۲۱/۱۳۰۰ از عراق گریخته بودند، پناهندگی اعطا کرد. عبدالکریم حائری یزدی، مجتهدی بسیار محترم را به اقامت در شهر قم و تبدیل آن به مرکزی همانند نجف ترغیب و تشویق کرد. حائری که همواره از سیاست دوری می‌جست، برای نهادینه کردن تشکیلات دینی، بیش از هر روحانی دیگری فعالیت کرد. در همین سال‌ها بود که، استفاده از القاب روحانی نظیر آیت‌الله و حجت‌الاسلام بین عموم رایج شد. شیخ محمدحسین نائینی، طرفداری از دولت را به جایی رساند که کتاب اولیه‌اش در مدح مشروطیت را نابود کرد. رضاشاه طلاب علوم دینی را از انجام وظیفه معاف و تأیید و ترویج هرگونه عقاید «الحادی» و «مادی‌گرایانه» را ممنوع کرد. برخی از روحانیون با لحنی پرجذبه در باب عرفان و مشخصاً شاعران صوفی چون مولوی و حافظ، داد سخن می‌دادند. آن‌ها شک‌آوری را با مادی‌گرایی و ماتریالیسم را با کمونیسم برابر می‌پنداشتند. از نظر یکی از روحانیون نویسندهٔ درس‌نامه، هدف آموزش ابتدایی شناساندن خداوند به کودک است. شگفت‌آور نیست که شمار بسیار معدودی از روحانیون بلندمرتبه در مقابل شاه ایستادگی کردند.,123
زندیان با انگلستان دارای پیوندهای بازرگانی بودند و برخی سران این دودمان همچون واپسین شاهشان لطفعلی‌خان برخوردهای نزدیک و دوستانه‌ای با نمایندگان این کشور داشتند. هرچند برخورد کریم خان با انگلیسی‌ها در تاریخ پُرآوازه است؛ وی چینی‌های پیشکشی انگلیسی‌ها را در پیش رویشان شکست و ظرف‌های مسی ایرانی را به زمین زد و گفت که می‌بینید مال ما بهتر است و نیازی به ظرف‌های شما نداریم؛ ولی می‌نماید این از عاقبت اندیشی بنیان‌گذار این دودمان بوده باشد چه که هندوستان به تازگی به استعمار انگلیسی‌ها درآمده بود؛ ولی با این همه وی به شرکت انگلیسی هند شرقی پروانه زدن تجارتخانه در بوشهر را داد و تسهیلاتی بدیشان بخشید. انگلیسی‌ها پارچه‌های پشمی به ایران می‌آوردند و در برابر کریم خان ایشان را از حق گمرک معاف نمود؛ ولی بازرگانان انگلیسی حق بیرون بردن طلا و نقره را از ایران نداشتند و ناچار بودند برای بهای کالاهای خویش کالاهای ایرانی خریداری کنند.,101
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» نوشتهٔ «ابراهیم مکلا» تصویرهای گوناگونی از نقوش شیر و خورشید گرد آورده شده‌اند. مطابق نوشته‌های زیر یکی از این تصویرها، این گونه می‌نماید که این تصویر متعلق به «دستورالعمل بیرقهای دولت علیه» باشد که به منظور استانداردسازی شکل پرچم وقت ایران تهیه شده‌است. تاریخ این آیین‌نامه مشخص نیست. برابر این دستورالعمل ترتیب سه رنگ پرچم مطابق وضعیت کنونی آن است، شیر و خورشید درشت ترسیم می‌گشته‌است به گونه‌ای که بر روی هر سه نوار سبز و سفید و سرخ جای می‌گرفته‌است، در زیر پای شیر هیچ چیزی ترسیم نمی‌شده‌است، شیر به صورت سه‌رخ نقاشی می‌شده‌است و چهره‌ای اریب درون خورشید کشیده می‌شده‌است.[persian-alpha 9],105
فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است. ساکنان ژاپن دوره‌های طولانی انزوا را سپری کرده‌اند، ورود کشتی‌های غربی در قرن ۱۶ و ۱۹ میلادی و آشنایی مردم ژاپن با ادیان مختلف همچون مسیحیت عصری جدید را برای این کشور پدیدآورد که تغییرات فرهنگی و سنت‌شکنی‌های بعد از آن خالی از لطف نبود.نخستین آثار ادبیات ژاپنی به‌شدت تحت تأثیر ارتباطات فرهنگی با چین و ادبیات چینی سروده شدند. این آثار به زبان چینی کلاسیک سروده می‌شدند. ادبیات هندی نیز با گسترش بودیسم در ژاپن بر ادبیات این کشور تأثیر گذاشت. اما در نهایت هنگامی که نویسندگان ژاپنی شروع به نوشتن دربارهٔ ژاپن کردند توانستند سبک خاص خود را توسعه بخشند اما همچنان تأثیر ادبیات چینی و چینی کلاسیک را می‌شد تا پایان دورهٔ ادو در این آثار مشاهده کرد. از زمانی که ژاپن دروازه‌های خود را در سده ۱۹ میلادی به روی تجارت و دیپلماسی با غرب باز کرد ادبیات شرق و غرب به شدت برهم تأثیر گذاشته‌اند و همچنان می‌گذارند.,113
گیلان، از قدیمی‌ترین مراکز رادیویی و تلویزیونی ایران برخوردار است که امروزه صدا و سیمای مرکز گیلان نامیده می‌شود. این مرکز فعالیت خود را در ۱۳۳۴ با یک دستگاه فرستنده رادیویی ۷۵ واتی که آنتن آن در اداره پست و تلگراف گیلان نصب شده بود آغاز کرد. شبکه استانی صدای مرکز گیلان در سال ۱۳۷۷ راه‌اندازی شد. این رادیو دارای دو بخش برون مرزی رادیو گرجی و رادیو تالشی ست. پخش سیگنال‌های تلویزیونی در هفتم اردیبهشت ۱۳۴۹ در گیلان آغاز شد. این تلویزیون با شش ساعت برنامه در هفته برنامه‌های موسیقی محلی و برنامه‌های مخصوص کودکان تولید می‌کرد. شبکه باران که در سال ۱۳۷۷ افتتاح شد تنها تلویزیون محلی گیلان است که به صورت ۲۴ ساعته برنامه پخش می‌کند.,106
چین برای هشتمین بار پیاپی و با کسب رکوردی جدید در کسب مدال‌های طلا (۱۹۹ مدال طلا) در یک دورهٔ بازی‌ها، موفق به کسب رتبهٔ نخست در جدول مدال‌ها شد. چین، رکورد پیشین خود را که با کسب ۱۸۳ نشان طلا در بازی‌های آسیایی ۱۹۹۰ در پکن، چین به‌دست آمده بود، بهبود بخشید. ماکائو و بنگلادش به ترتیب نخستین مدال طلای خود در بازی‌های آسیایی را در رشته‌های ووشو و کریکت کسب کردند. ۳۵ کشور (به جز کویت که زیر پرچم المپیک رقابت کرد) موفق به کسب نشان شدند و از این تعداد، ۲۸ کمیتهٔ ملی المپیک، حداقل یک مدال طلا به‌دست آوردند. بدین ترتیب ۹ کشور نتوانستند به هیچ مدالی در این بازی‌ها دست پیدا کنند.,130
در اکتبر ۲۰۱۱ میلادی، پاپ بندیکت شانزدهم، رهبر مسیحیان کاتولیک جهان، نسبت به استفاده از زور و جنگ برای ترویج مسیحیت در سده‌های گذشته، «انتقاد و اظهار شرم» کرد.هرگز عقیده ی پیروان گروه مسیح بر دیگر عقاید گروه مسیحیان برتری ندارد و تمام مسیحیان در راه خدا و مسیح می توانیم که مورد رضایت پدر اسمانی قرار بگیریم او با اشاره به خشونت‌هایی که در تاریخ برای ترویج مسیحیت گروهی خاص رخ داده‌است گفت: «ما این را با شرم بزرگی تأیید می‌کنیم؛ ولی کاملاً واضح است که این سوء استفاده از ایمان مسیحی بوده‌است،و اشفتگی روح و ضعف ایمان شخص مسئول هدایت انسان ها جز غم و شرم نتیجه‌ای نداشته است.چیزی که به وضوح با ذات واقعی آن در تضاد است».,118
حکومت اولین امپراتور روم، آگوستوس در سال ۲۷ (پیش از میلاد) آغاز شد. این حکومت شاهد آغاز پکس رومانا، یا دوران ثبات سیاسی و شکوه و جلال فراوان که حدود ۲۰۰ سال ادامه داشت، بود. در طول این دوره، امپراتور روم به مدیترانه و بخش اعظم اروپای غربی حکومت می‌کرد. امپراتوری به شکل کاملی سازماندهی شده بود و به خوبی اداره و کنترل می‌شد. یک شبکه از راه‌ها، سرزمین‌های امپراتوری را به پایتخت، رم، متصل می‌کرد. لژیون آموزش دیده روم از تمام نقاط بحرانی در طول مرزهایش دفاع می‌کرد. شهروندان رومی از یک قانون مشترک، فرهنگ مشترک و زبان مشترک لاتینی، بهره‌مند بودند.,103
بادوبار کلیک کردن بر روی دکمه Home. Switching applications را فعال می‌سازد؛ که یک رونده حوض مانند از پایین، با حرکت دادن محتویات صفحه نمایش تا بالای صفحه نمایش ظاهر می‌شود. انتخاب یک آیکون سوئیچ به برنامه سمت چپ آیکون که به عنوان کنترل‌های موسیقی، و قفل چرخش عمل می‌کنند. نگه داشتن آیکون‌ها به‌طور خلاصه آن‌ها را به «جنبش» درآورده (به همین ترتیب به صفحه اصلی) و اجازه می‌دهد تا کاربر برنامه‌ها را به بسته شدن وادار کند. در نسخه هفتم در آیپدها با کشیدن چهار انگشت به سمت چپ یا راست می‌توانید در بین برنامه‌ها سویچ کنید.,112
