question,answer,model_answer,id,clean_model_answer,is_correct
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,بلی,3,بلی,True
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,بهرام رادان,2255,بهرام رادان,False
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,پک‌من,8,پک‌من,False
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,سونی,9,سونی,False
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,بلی,10,بلی,True
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بلی,14,بلی,True
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بلی,2263,بلی,True
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,اردو,2268,اردو,True
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بلی,2270,بلی,True
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,آلمان,2271,آلمان,False
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,دوره ی بیستم,28,دوره ی بیستم,False
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,ویژه برنامه جام جهانی ۲۰۲۲,29,ویژه برنامه جام جهانی ۲۰۲۲,False
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,فرانسه,30,فرانسه,True
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,ویژه برنامه جام جهانی ۲۰۱۸,31,ویژه برنامه جام جهانی ۲۰۱۸,False
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,سال ۲۰۰۱,2277,سال ۲۰۰۱,False
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بلی,34,بلی,True
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,بلی,35,بلی,True
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بلی,2282,بلی,True
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بلی,2284,بلی,True
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,رایان گاسلینگ,1138,رایان گاسلینگ,False
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,برادران وارنر,2286,برادران وارنر,True
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,کاشیما آنتلرز,47,کاشیما آنتلرز,False
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,لیگ قهرمانان آسیا,48,لیگ قهرمانان آسیا,True
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوئیس انریکه,51,لوئیس انریکه,True
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,1157,جیک جیلنهال,True
