question,answer,model_answer,clean_model_answer,is_correct
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,بلی,بلی,True
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,ایمی اسمارت,ایمی اسمارت,True
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,برادران سوپر ماریو,برادران سوپر ماریو,True
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,بلی/خیر,بلی/خیر,False
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,خیر,خیر,False
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بلی,بلی,True
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بلی,بلی,True
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,اردو,اردو,True
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بلی,بلی,True
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,فرانسه,فرانسه,False
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,جام جهانی ۲۰۱۸,جام جهانی ۲۰۱۸,False
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,زابیواکا,زابیواکا,True
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,تیم ملی فوتبال فرانسه,تیم ملی فوتبال فرانسه,True
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,زابیواکا,زابیواکا,True
