question,answer,id,context_id
ساختار آب چیست؟,اکسید هیدروژن,1624917,114
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,1624977,114
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,1637359,123
روس‌های سفید که بودند؟,,1637429,123
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,1602784,101
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,1607913,105
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,1623122,113
مهمترین آثار باستانی استان گیلان کدام است؟,,1610145,106
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,1610317,106
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,1648587,130
لاوازیه در چه سالی متولد شد؟,,1624298,114
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,1630220,118
رم در کدام قاره قرار گرفته‌است؟,اروپا,1605283,103
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,1621111,112
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,1622278,113
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,1609968,106
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,1635871,122
