question,answer,model_answer,clean_model_answer,is_correct,id
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,بله، کاترین لانگفورد نقش هانا بیکر را بازی کرده است.,بله، کاترین لانگفورد نقش هانا بیکر را بازی کرده است.,True,
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,امی اسمارت,امی اسمارت,True,
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,"بازی ""Super Mario""","بازی ""Super Mario""",True,
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,پلی‌استیشن,پلی‌استیشن,False,
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,بله، این جایزه برای افرادی است که نقش مهمی در سینما داشته‌اند.,بله، این جایزه برای افرادی است که نقش مهمی در سینما داشته‌اند.,True,
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بله، محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت.,بله، محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت.,True,
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بله، شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,بله، شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,True,
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,زبان اردو,زبان اردو,True,
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بله، شرکت یوبی‌سافت چند ملیتی است.,بله، شرکت یوبی‌سافت چند ملیتی است.,True,
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,ژاپن,ژاپن,True,
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,برای سومین دوره جام جهانی,برای سومین دوره جام جهانی,False,
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"ویژه برنامه ""جام جهانی ۲۰۱۸""","ویژه برنامه ""جام جهانی ۲۰۱۸""",False,
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,تیم ملی فرانسه,تیم ملی فرانسه,True,
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"ویژه برنامه ""جام جهانی ۲۰۱۸""","ویژه برنامه ""جام جهانی ۲۰۱۸""",False,
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,سال 1983,سال 1983,False,
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,True,
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,بله، فرانسه در این جام جهانی قهرمان جهان شد.,بله، فرانسه در این جام جهانی قهرمان جهان شد.,True,
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بله، جی. کی. رولینگ چند داستان جنایی نوشته است.,بله، جی. کی. رولینگ چند داستان جنایی نوشته است.,True,
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بله، هر دو اثر پرفروش‌ترین هستند.,بله، هر دو اثر پرفروش‌ترین هستند.,True,
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,رایان گاسلینگ,رایان گاسلینگ,False,
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,استودیوی برادران وارنر,استودیوی برادران وارنر,True,
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,کاشیما آنتلرز,کاشیما آنتلرز,False,
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,J1 League,J1 League,False,
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوئیز انریکه,لوئیز انریکه,True,
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True,
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,"فیلم ""The Life Before Her Eyes""","فیلم ""The Life Before Her Eyes""",False,
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True,
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,شهر شنژن,شهر شنژن,True,
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,بله، فیلیپ تورتون در شهر تاریخی روان که مرکز نورماندی است متولد شده است.,بله، فیلیپ تورتون در شهر تاریخی روان که مرکز نورماندی است متولد شده است.,True,
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,حدود هزار سال,حدود هزار سال,False,
