question,answer,model_answer,clean_model_answer,is_correct,em_score,f1_score,precision_score,recall_score,parse_result
ساختار آب چیست؟,اکسید هیدروژن,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,هیدروژن (H۲) و هلیم (He),هیدروژن (H۲) و هلیم (He),False,False,0.0,0.0,0.0,False
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,غرب ایران,غرب ایران,True,False,0.6666666666666666,0.5,1.0,True
روس‌های سفید که بودند؟,,روس‌های سفید به گروهی از نیروهای ضد بلشویک در جنگ داخلی روسیه اشاره دارند.,روس‌های سفید به گروهی از نیروهای ضد بلشویک در جنگ داخلی روسیه اشاره دارند.,False,False,0.0,0.0,0.0,False
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,,,False,False,0.0,0.0,0.0,False
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,سلطنتی و اشراف‌زادگی,سلطنتی و اشراف‌زادگی,True,True,1.0,1.0,1.0,True
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,چندین محصول از جمله الکترونیک، خودرو، و ماشین‌آلات,چندین محصول از جمله الکترونیک، خودرو، و ماشین‌آلات,False,False,0.1904761904761905,0.25,0.15384615384615385,False
مهمترین آثار باستانی استان گیلان کدام است؟,,متن ارائه شده اطلاعاتی درباره آثار باستانی استان گیلان ندارد.,متن ارائه شده اطلاعاتی درباره آثار باستانی استان گیلان ندارد.,True,False,0.0,0.0,0.0,False
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,۱۱ شهرستان,۱۱ شهرستان,True,False,0.6666666666666666,0.5,1.0,True
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگژو، چین,گوانگژو، چین,False,False,0.0,0.0,0.0,False
لاوازیه در چه سالی متولد شد؟,,این اطلاعات در متن موجود نیست.,این اطلاعات در متن موجود نیست.,True,False,0.0,0.0,0.0,False
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,در شهر رم، کشور ایتالیا,در شهر رم، کشور ایتالیا,True,False,0.0,0.0,0.0,False
رم در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,اروپا,True,True,1.0,1.0,1.0,True
