question,answer,model_answer,id
ساختار آب چیست؟,اکسید هیدروژن,H₂O,1624917
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,کربن، نیتروژن، گوگرد و فلزات قلیایی,1624977
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,سمت شمال ایران,1637359
روس‌های سفید که بودند؟,,مخالفان بلشویک‌ها در جنگ داخلی روسیه,1637429
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,میرزا آقاخان کرمانی، سید جمال‌الدین اسدآبادی، و محمدعلی فروغی,1602784
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,نماد چهار عنصر,1607913
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,ماشین‌آلات، الکترونیک، خودرو، مواد شیمیایی، و محصولات کشاورزی,1623122
مهمترین آثار باستانی استان گیلان کدام است؟,,قلعه رودخان، پل خشتی لاهیجان، آرامگاه شیخ زاهد گیلانی,1610145
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,چهار شهرستان,1610317
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگژو,1648587
لاوازیه در چه سالی متولد شد؟,,۱۷۴۳,1624298
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,شهر واتیکان، ایتالیا,1630220
رم در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,1605283
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,جستجوی محتوا,1621111
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,۱۰۰۰ تا ۱۵۰۰ زمین لرزه,1622278
