question,answer,model_answer,clean_model_answer,is_correct,id
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,بله، کاترین لانگفورد نقش هانا بیکر را در سریال ۱۳ دلیل برای اینکه بازی کرده است.,بله، کاترین لانگفورد نقش هانا بیکر را در سریال ۱۳ دلیل برای اینکه بازی کرده است.,True,
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,لیلا حاتمی,لیلا حاتمی,False,
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,"بازی ویدیویی ""Super Mario Bros.""","بازی ویدیویی ""Super Mario Bros.""",True,
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,"بازی ""پوکمون"" از شرکت نینتندو","بازی ""پوکمون"" از شرکت نینتندو",False,
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,بله، این جایزه برای افرادی است که نقش مهمی در سینما داشته‌اند.,بله، این جایزه برای افرادی است که نقش مهمی در سینما داشته‌اند.,True,
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بله، محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم‌گیرنده پذیرش یا رد مقالات را بر عهده داشت.,بله، محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم‌گیرنده پذیرش یا رد مقالات را بر عهده داشت.,True,
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بله، شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,بله، شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است.,True,
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,زبان اردو,زبان اردو,True,
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بله، شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب را منتشر کرده، یک شرکت چند ملیتی است.,بله، شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب را منتشر کرده، یک شرکت چند ملیتی است.,True,
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,شرکت منتشرکننده بازی این‌اسلیو: اودیسه به سمت غرب در کشور سوئد قرار دارد.,شرکت منتشرکننده بازی این‌اسلیو: اودیسه به سمت غرب در کشور سوئد قرار دارد.,False,
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,برنامه تلویزیونی زابیواکا برای سومین دوره جام جهانی پخش شد.,برنامه تلویزیونی زابیواکا برای سومین دوره جام جهانی پخش شد.,False,
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"ویژه برنامه ""جام جهانی 2022""","ویژه برنامه ""جام جهانی 2022""",False,
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,جام جهانی 2018 با قهرمانی تیم ملی فرانسه پایان یافت.,جام جهانی 2018 با قهرمانی تیم ملی فرانسه پایان یافت.,True,
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,"ویژه برنامه ""فوتبال 360""","ویژه برنامه ""فوتبال 360""",False,
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,سال 2015,سال 2015,False,
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,بله، ویژه برنامه بیست و یکمین دوره جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد.,True,
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,بله، فرانسه در جام جهانی 2018 قهرمان جهان شد.,بله، فرانسه در جام جهانی 2018 قهرمان جهان شد.,True,
