question,expected_answer,model_answer,clean_model_answer,is_correct,answer_type,question_type
آیا کاترین لانگفورد نقش دختر بچه نوجوانی که هانا بیکر نام داشت را در سریال ۱۳ دلیل برای اینکه بازی کرده است ؟,بله,بله,بله,True,بلی/خیر,مقایسه‌ای
کدام یک از بازیگران فیلم اثر پروانه‌ای در فیلم آینه‌ها نیز ایفای نقش کرده است ؟,ایمی اسمارت,بهرام رادان,بهرام رادان,False,شخص,پل
کدام بازی ویدیویی شرکتی ژاپنی منبع الهام طراحی بازی سوپرتاکس بوده است ؟,برادران سوپر ماریو,سوپر ماریو,سوپر ماریو,True,اسامی خاص دیگر,پل
یکی از بازی های معروف شرکتی که اولین کنسول بازی ویدیویی خود را در سال ۱۹۹۷ توزیع کرد ؟,برادران سوپر ماریو,پلی‌استیشن,پلی‌استیشن,False,اسامی خاص دیگر,پل
آیا جایزه ای که سیدیبه در سال 2007 آن را دریافت کرد برای افرادی است که نقش مهمی در سینما داشته‌اند ؟,بله,بله,بله,True,بلی/خیر,پل
آیا محمدرضا ترکی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بله,بله,True,بلی/خیر,پل
آیا شرکت سازنده دورنیر دو ۲۱۷ هواگردهای نظامی و غیرنظامی بسیاری را طراحی و تولید نموده است  ؟,بله,بله,بله,True,بلی/خیر,پل
کدام یک از زبان هایی که کلمه حمد در آن استفاده می شود در جنوب آسیا گفتگو می شود ؟,زبان اردو,اردو,اردو,True,اسامی خاص دیگر,پل
آیا شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده یک شرکت چند ملیتی می باشد ؟,بله,بله,بله,True,بلی/خیر,پل
شرکتی که بازی این‌اسلیو: اودیسه به سمت غرب  توسط آن منتشر شده است در کدام کشور قرار دارد ؟,ژاپن,آلمان,آلمان,False,مکان,پل
برنامه تلویزیونی زابیواکا برای چندمین دوره ی جام جهانی پخش شد ؟,بیست و یکمین,چهارمین دوره,چهارمین دوره,False,صفت,پل
کدام ویژه برنامه در بیست و یکمین دوره جام جهانی فوتبال از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,زابیواکا,زابیواکا,True,کار هنری,پل
جام جهانی که برنامه تلویزیونی زابیواکا ویژه آن پخش شد با قهرمانی کدام تیم پایان یافت ؟,فرانسه,فرانسه,فرانسه,True,مکان,پل
کدام ویژه برنامه در اولین دوره جام جهانی فوتبال در اروپای شرقی از تلویزیون اینترنتی آیو اسپرت پخش شد ؟,زابیواکا,زابیواکا,زابیواکا,True,کار هنری,پل
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,۲۰۱۳,۲۰۱۳,False,تاریخ,پل
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بله,بله,True,بلی/خیر,پل
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,بله,بله,True,بلی/خیر,پل
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بله,بله,True,بلی/خیر,پل
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بله,بله,True,بلی/خیر,مقایسه‌ای
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,برایان کرانستون,برایان کرانستون,False,شخص,پل
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,برادران وارنر,برادران وارنر,True,گروه یا سازمان,پل
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,کاشیما آنتلرز,کاشیما آنتلرز,False,اسامی خاص دیگر,پل
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,لیگ ژاپن,لیگ ژاپن,False,رویداد,پل
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوئیس انریکه,لوئیس انریکه,True,شخص,پل
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True,شخص,پل
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,نیمه شب در پاریس,نیمه شب در پاریس,False,کار هنری,پل
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,رایان رینولدز,رایان رینولدز,False,شخص,پل
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,شنژن,شنژن,True,مکان,پل
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,بله,بله,True,بلی/خیر,پل
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,حدود ۴۰۰ سال,حدود ۴۰۰ سال,False,تاریخ,پل
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,تنباکو,تنباکو,False,اسامی عام,پل
