question,answer,model_answer,clean_model_answer,is_correct,id
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,قهستان در نواحی شرقی ایران، به ویژه در استان خراسان واقع بوده‌است.,قهستان در نواحی شرقی ایران، به ویژه در استان خراسان واقع بوده‌است.,False,
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی و تئاتر مستند.,تئاتر کلاسیک، تئاتر مدرن، تئاتر تجربی، تئاتر موزیکال، تئاتر عروسکی، تئاتر خیابانی و تئاتر مستند.,False,
کار برنامه‌نویس بزرگ رایانه چیست؟,,کار برنامه‌نویس بزرگ رایانه شامل طراحی، توسعه و نگهداری نرم‌افزارهای پیچیده است.,کار برنامه‌نویس بزرگ رایانه شامل طراحی، توسعه و نگهداری نرم‌افزارهای پیچیده است.,False,
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,لری پیج، سرگی برین و اریک اشمیت توافق کردند که به مدت 10 سال کنار هم کار کنند.,لری پیج، سرگی برین و اریک اشمیت توافق کردند که به مدت 10 سال کنار هم کار کنند.,False,
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,حاکم اصفهان در زمان مرگ نادرشاه، علی‌قلی خان زنگنه بود.,حاکم اصفهان در زمان مرگ نادرشاه، علی‌قلی خان زنگنه بود.,False,
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,صربیا به دلیل تاریخچه غنی موسیقی، هنرمندان مشهور و موضوعات اجتماعی در رپ، یکی از مشهورترین کشورها در زمینه رپ در اروپا است.,صربیا به دلیل تاریخچه غنی موسیقی، هنرمندان مشهور و موضوعات اجتماعی در رپ، یکی از مشهورترین کشورها در زمینه رپ در اروپا است.,False,
مسیحی پروتستان چگونه است؟,,مسیحی پروتستان به پیروان شاخه‌ای از مسیحیت اشاره دارد که بر اساس اصلاحات دینی قرن 16 شکل گرفته و بر رابطه مستقیم فرد با خدا تأ,مسیحی پروتستان به پیروان شاخه‌ای از مسیحیت اشاره دارد که بر اساس اصلاحات دینی قرن 16 شکل گرفته و بر رابطه مستقیم فرد با خدا تأ,False,
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,مرحله بتا مرحله‌ای در توسعه نرم‌افزار است که در آن محصول به گروهی از کاربران برای تست و بازخورد ارائه می‌شود.,مرحله بتا مرحله‌ای در توسعه نرم‌افزار است که در آن محصول به گروهی از کاربران برای تست و بازخورد ارائه می‌شود.,False,
جین آئو- یونگ در چه سالی متولد شد؟َ,,جین آیئو-یونگ در سال ۱۹۱۰ متولد شد.,جین آیئو-یونگ در سال ۱۹۱۰ متولد شد.,False,
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),تیلور اولین مأموریت خود را در تاریخ ۲۴ سپتامبر ۱۸۴۶ به نتیجه رساند.,تیلور اولین مأموریت خود را در تاریخ ۲۴ سپتامبر ۱۸۴۶ به نتیجه رساند.,False,
