question,answer,model_answer,clean_model_answer,is_correct
ساختار آب چیست؟,اکسید هیدروژن,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
اکسیژن با کدام عناصر در دماهای بالا پیوند شیمیایی تشکیل می‌دهد؟,تقریباً با تمام عناصر,هیدروژن (H۲) و هلیم (He),هیدروژن (H۲) و هلیم (He),False
رضاخان دوران جنگ جهانی را بیشتر در کدام سمت ایران سپری کرد؟,غرب,غرب ایران,غرب ایران,True
روس‌های سفید که بودند؟,,روس‌های سفید به گروهی از نیروهای ضد بلشویک در جنگ داخلی روسیه اشاره دارند.,روس‌های سفید به گروهی از نیروهای ضد بلشویک در جنگ داخلی روسیه اشاره دارند.,False
از بزرگان خوانین شهریار نام چه کسانی را می‌توان برد؟,کدخدا حسینقلی زند و فرزند ایشان باقرخان زند,,,False
چهار پرچم یافت‌شده در کتیبه‌های سنگی دوران ساسانی نماد چه هستند؟,سلطنتی و اشراف‌زادگی,سلطنتی و اشراف‌زادگی,سلطنتی و اشراف‌زادگی,True
محصولات صادراتی ژاپن چیست؟,تجهیزات حمل و نقل، اتومبیل، صنایع الکترونیک، ماشین آلات الکتریکی و صنایع شیمیایی,چندین محصول از جمله الکترونیک، خودرو، و ماشین‌آلات,چندین محصول از جمله الکترونیک، خودرو، و ماشین‌آلات,False
مهمترین آثار باستانی استان گیلان کدام است؟,,متن ارائه شده اطلاعاتی درباره آثار باستانی استان گیلان ندارد.,متن ارائه شده اطلاعاتی درباره آثار باستانی استان گیلان ندارد.,True
در سال 1963، گیلان به چند شهرستان تقسیم می‌شد؟,۱۱,۱۱ شهرستان,۱۱ شهرستان,True
بازی‌های آسیایی ۲۰۱۰ در چه مکانی برگزار کردند؟,در جزیرهٔ هایزینشا، با استفاده از رودخانهٔ پرل و برج کانتون به عنوان نقاط کانونی برگزار کردند,گوانگژو، چین,گوانگژو، چین,False
لاوازیه در چه سالی متولد شد؟,,این اطلاعات در متن موجود نیست.,این اطلاعات در متن موجود نیست.,True
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,در شهر رم، کشور ایتالیا,در شهر رم، کشور ایتالیا,True
رم در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,اروپا,True
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,جستجو درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه,جستجو درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه,True
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,حدود ۱۵۰۰ زمین لرزه,حدود ۱۵۰۰ زمین لرزه,True
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,زبان‌های شمال غربی ایرانی,زبان‌های شمال غربی ایرانی,True
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,وودرو ویلسون,وودرو ویلسون,False
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,علی مردان خان بختیاری نایب السلطنه و یکی از سه خان لر در سال ۱۱۶۳ بود.,علی مردان خان بختیاری نایب السلطنه و یکی از سه خان لر در سال ۱۱۶۳ بود.,True
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,آشنایی با مناسبات قدرت و سیاست,آشنایی با مناسبات قدرت و سیاست,False
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,"سبک آوازی یا تولیدی ""به خانه برگرد"" سیٔو تایجی شبیه سبک راک بود.","سبک آوازی یا تولیدی ""به خانه برگرد"" سیٔو تایجی شبیه سبک راک بود.",False
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,1921,1921,False
ابوموسی اشعری اهل کجا بود؟,,ابوموسی اشعری اهل اهواز بود.,ابوموسی اشعری اهل اهواز بود.,False
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,جنگ‌های ایران و روم,جنگ‌های ایران و روم,False
