question,expected_answer,model_answer,clean_model_answer,is_correct,answer_type,question_type
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,ماهواره‌ها در مدارهای زمین‌ثابت و مدارهای نزدیک به زمین برای مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند.,ماهواره‌ها در مدارهای زمین‌ثابت و مدارهای نزدیک به زمین برای مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند.,False,unknown,unknown
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,یزگرداول با آذرمیه ازدواج کرد.,یزگرداول با آذرمیه ازدواج کرد.,False,unknown,unknown
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,موسیقی رپ شامل شعر و متن، ری,موسیقی رپ شامل شعر و متن، ری,False,unknown,unknown
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین، امضای قرارداد دارسی در سال ۱۹۰۱ بود.,اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین، امضای قرارداد دارسی در سال ۱۹۰۱ بود.,False,unknown,unknown
منظور از آتریاد چیست؟,تیپ,آتریاد به معنای یک گروه یا مجموعه‌ای از سه عنصر یا سه نفر است و در زمینه‌های مختلفی مانند موسیقی و ادبیات به کار می‌رود.,آتریاد به معنای یک گروه یا مجموعه‌ای از سه عنصر یا سه نفر است و در زمینه‌های مختلفی مانند موسیقی و ادبیات به کار می‌رود.,False,unknown,unknown
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,"حسین بن محمد تقی نوری ملقب به ""علامه نوری"" است.","حسین بن محمد تقی نوری ملقب به ""علامه نوری"" است.",False,unknown,unknown
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,"واژهٔ ""گوگول"" به عدد ۱۰ به توان ۱۰۰ اشاره دارد و به عنوان یک عدد بسیار بزرگ در ریاضیات شناخته می‌شود.","واژهٔ ""گوگول"" به عدد ۱۰ به توان ۱۰۰ اشاره دارد و به عنوان یک عدد بسیار بزرگ در ریاضیات شناخته می‌شود.",False,unknown,unknown
کشور شیلی در کدام قاره قرار دارد؟,,آمریکای جنوبی,آمریکای جنوبی,False,unknown,unknown
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,"اصطلاح ""شنای سگی"" به نوعی از شنا اشاره دارد که در آن فرد با حرکات نامنظم و غیرقابل کنترل در آب شنا می‌کند و شبیه به حرکات سگ در آب است.","اصطلاح ""شنای سگی"" به نوعی از شنا اشاره دارد که در آن فرد با حرکات نامنظم و غیرقابل کنترل در آب شنا می‌کند و شبیه به حرکات سگ در آب است.",True,unknown,unknown
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,در زمان صدارت میرزا تقی خان امیرکبیر، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد.,در زمان صدارت میرزا تقی خان امیرکبیر، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد.,True,unknown,unknown
